mes_num;registros;ventas_totales;venta_media;venta_mediana;venta_moda;mes
1;520;106059.700;203.961;132.050;141.600;Enero
2;545;108962.100;199.930;133.400;49.300;Febrero
3;569;116168.000;204.162;135.000;38.600;Marzo
4;557;116737.700;209.583;137.300;22.100;Abril
5;530;112533.800;212.328;145.500;69.400;Mayo
6;543;112153.900;206.545;133.100;35.700;Junio
7;565;113645.100;201.142;132.200;49.300;Julio
8;530;105665.000;199.368;136.100;39.200;Agosto
9;508;109666.700;215.879;145.200;22.100;Septiembre
10;563;115559.600;205.257;141.100;68.600;Octubre
11;493;99385.500;201.593;136.200;98.000;Noviembre
12;577;124038.700;214.972;143.700;64.700;Diciembre
