mes_num;registros;boletines_usados;vales_usados;mes;porcentaje_boletines;porcentaje_vales
1;520;241;100;Enero;46.346;19.231
2;545;259;91;Febrero;47.523;16.697
3;569;261;133;Marzo;45.870;23.374
4;557;239;88;Abril;42.908;15.799
5;530;251;97;Mayo;47.358;18.302
6;543;228;102;Junio;41.989;18.785
7;565;236;96;Julio;41.770;16.991
8;530;251;102;Agosto;47.358;19.245
9;508;200;120;Septiembre;39.370;23.622
10;563;260;85;Octubre;46.181;15.098
11;493;233;112;Noviembre;47.262;22.718
12;577;262;128;Diciembre;45.407;22.184
